"title","category","bluesky","twitter","type","did"
"TrondR",,"trondr.bsky.social","trondar","None","did:plc:zkqm47xuxamxbm7iqx2sov5k"
"Troy Taylor","businessapps","troystaylor.com","troystaylor","mvp","did:plc:3jsoaslx5x5laivannl2mfjz"
"Dagi Yudovich","data","utterlydagi.bsky.social","utterlydougy","mvp","did:plc:k4gyxbrt6pnrdhu5gngabyd5"
"Kevin Jones","dotnet","vcsjones.dev","vcsjones","microsoft","did:plc:lhk2g5teiibjzxq3nglf2khk"
"Vesa Juvonen","microsoft365","vesajuvonen.bsky.social","vesajuvonen","microsoft","did:plc:3y3e6hrrefrv65t5ppb7k4xe"
"Vicky Harp",,"vickyharp.com","","microsoft","did:plc:qdaiwcm5ei573yss3xxg4nsg"
"Ville Gullstrand","data","villezekeviking.com","villezekeviking","mvp","did:plc:6p2uzyqlgsghjpzolt7gtr2a"
"Vinoth","ai","vinoth.bsky.social","vinothrajendran","mvp","did:plc:4tsmascxrr764hirfyiepfhi"
"Vivian Voss","businessapps","vivianvoss.dk","viviantiiman","mvp","did:plc:yjgfutdty2rc6rxta7s5homm"
"Vlad Catrinescu","powershell","vladtalkstech.com","vladcatrinescu","mvp","did:plc:k76fawoafapz5rigmort5g6d"
"Vincent Baaij","dotnet","vnbaaij.bsky.social","vnbaaij","microsoft","did:plc:nflxy2vpdfe5iauiiz2hk2j7"
"Vyom Dixit","security","vyomdixit.bsky.social","","microsoft","did:plc:2dey43l7ezqilt42oz36ng46"
"Waldek Mastykarz","microsoft365","waldek.bsky.social","waldekm","microsoft","did:plc:t3bmctdc2rutnfarqt2zipt6"
"Wassim Chegham ","azure","wassim.dev","manekinekko","microsoft","did:plc:yipytfjnxwiwym2dcieq4ub2"
"Joe Carlyle","azure","wedoazure.ie","wedoazure","mvp","did:plc:vu6trtmi2oxslyibxgfbio6w"
"Wictor Wilén","microsoft365","wictorwilen.se","wictor","microsoft","did:plc:pgznpthebhk3ociokmwkuqpv"
"Author, Instructor and Architect","dotnet","wildermuth.com","@shawnwildermuth","mvp","did:plc:dq5rs4l54xji564abn3xof66"
"Will Velida","azure","willvelida.com","willvelida","mvp","did:plc:73txti6k6uinmgiwnkypkfco"
"Waldek Mastykarz","microsoft365","wldk.nl","waldekm","microsoft","did:plc:t3bmctdc2rutnfarqt2zipt6"
"Phil Worrell",,"worrelpa.bsky.social","worrelpa","None","did:plc:ro2t2lqg52krmw46cphzabuj"
"Workplace Ninjas UK",,"wpninjas.uk","","None","did:plc:vn3ezknvxviclhcjr6fdnbze"
"Xavier Portilla Edo","ai","xavidop.bsky.social","xavidop","mvp","did:plc:6turao27s2f5cw2lsasz4jkq"
"Yannick Reekmans","businessapps","yannick.reekmans.be","yannickreekmans","mvp","did:plc:biodkc5hmrlqevxxrpyzjmcq"
"Alper Sarikaya","azure","yelper.bsky.social","yelperalp","microsoft","did:plc:6tbumb4nfwx4f6potzumyiq6"
"Cat Schneider","businessapps","yerawizardcat.bsky.social","yerawizardcat","mvp","did:plc:b2u7ss22xlzjxocc62is5mxs"
"Pat Phelan",,"yetanothersql.bsky.social","yetanothersql","None","did:plc:if6eg3qcl3s3kjlsi7tnxrw6"
"Graeme B","security","zealytechtips.com","graemece","microsoft","did:plc:xgkcenaw3nc5gocaaayqhs7j"
"Karel Zikmund","dotnet","zikicz.bsky.social","ziki_cz","microsoft","did:plc:5meyevgudclds47kszyadhnm"
"Tobias Zimmergren","azure","zimmergren.net","zimmergren","microsoft","did:plc:kf3c7yjq5hpywaw4tehveemo"
"Kat Marchán","dev","zkat.tech","","microsoft","did:plc:ujospssfohkwtnocit43op2r"
"zvensch","intune","zvensch.bsky.social","zvensch","microsoft","did:plc:lzyfg5dhlxwj3k5uzkpt4piy"
