"title","category","bluesky","twitter","type","did"
"Peter De Tender","azure","pdtit.bsky.social","pdtit","microsoft","did:plc:ot4mkwmfzfh3rmcsz7mta4fq"
"Per-Torben Sørensen",,"per-torben.bsky.social","","None","did:plc:6ha5cwyjyvsqodcq5karvm7x"
"Dylan Perks","dotnet","perksey.com","perksey","mvp","did:plc:cfsoqw6wefsthblpddedyhcx"
"Peter Klapwijk | In The Cloud 24-7","windows","peter.inthecloud247.com","inthecloud_247","mvp","did:plc:hl4vvwkfaixvpmfl4lb6ylpt"
"Peter Nylander",,"peternylander.bsky.social","peternylander","None","did:plc:nlvzjmdlotmluf7a6usglgnk"
"Peter Schmidt","microsoft365","peterschmidt.me","petsch","mvp","did:plc:fgu4uqce5ojngrvvrvfayia7"
"Petri Paavola - MVP","intune","petripaavola.bsky.social","petripaavola","mvp","did:plc:j3z4xc35blc4y6kcic45wuyd"
"PetterTech","azure","pettertech.bsky.social","","mvp","did:plc:4radpmbrvqprukyfhql5dywd"
"Philipp Kohn | The Cloud Copilot",,"philippkohn.bsky.social","@philipp_kohn","None","did:plc:w6r6xeqqx3w3ybc2nkb3kmbg"
"Pierre Thoor","security","pierrethoor.bsky.social","pierrethoor","mvp","did:plc:2dioavofo6cjq6zwquovfxkd"
"Kevin Pilch","data","pilchie.dev","pilchie","microsoft","did:plc:oqzykgzwjqbsc464v4oqszgv"
"pixelpanda",,"pixelpanda.io","","None","did:plc:kv6d2qytzopriy63zuey4lgu"
"John Marcum","windows","pjmarcum.bsky.social","mem_mvp","mvp","did:plc:ronbllm7dyxbs4k45bwd3ljc"
"Paul Bullock","microsoft365","pkbullock.bsky.social","@pkbullock","mvp","did:plc:jqxgezpjtwn6xp67dihvifes"
"Yannick Plavonil",,"playan.bsky.social","yplavonil","mvp","did:plc:vguuf4ocwqzyvt3rfeefopla"
"Michael Plettner","microsoft365","plemich.bsky.social","plemich","mvp","did:plc:nebmw5jddeboex6zcjrq2zu2"
"Chris Kent","microsoft365","pnp.horse","thechriskent","mvp","did:plc:23ir7dbboyvefok5rpv4kgv4"
"Power BI Weekly",,"powerbiweekly.endj.in","powerbiweekly","None","did:plc:ej6lnninbm4przvok4tjiplq"
"Ben Reader","powershell","powers-hell.com","powers_hell","mvp","did:plc:vveuef2gjhg6lxd6fimfs4nn"
"Tomas Prokop","businessapps","prokoptomas.bsky.social","prokytom","mvp","did:plc:7nydahhw2uy4aobeqcqns3mo"
"Przemysław Kłys","microsoft365","przemyslaw.evotec.xyz","przemyslawklys","mvp","did:plc:lnefdayxtxt4tk47ejcvccey"
"Pascal Plaga",,"psclplg.bsky.social","","None","did:plc:3zjw6dqbxvccvoccgv6gjpz5"
"Pratheep Sinnathurai","azure","psinnathurai.bsky.social","psinnathurai","mvp","did:plc:4tci4pamvtdfcuwhuzxbksim"
"Luca Del Puppo",,"puppo92.bsky.social","puppo92","mvp","did:plc:dxtvk2lz5or4mkpmfttxlxxf"
"Peter van der Woude","intune","pvanderwoude.bsky.social","pvanderwoude","mvp","did:plc:mvb3b5gu4ic3tovzs46abmh5"
"Philip Van de Vyver ",,"pvyver.bsky.social","pvyver","None","did:plc:gqvb4rfxss5ing4kzz2g2t4o"
"Matteo Pagani","microsoft365","qmatteoq.bsky.social","qmatteoq","microsoft","did:plc:yuqo6bp6ojl7edp4uw2vhnjc"
"Ragnar Heil, MVP","microsoft365","ragnarh.bsky.social","ragnarh","mvp","did:plc:hoelwvfdfj74dug4lpjkpcbf"
"Gary Raife","microsoft365","raife.com","garyraife","mvp","did:plc:v35b2wdaku7t4jyz3mtchtls"
"Rakhesh Sasidharan",,"rakhesh.com","rakheshster","None","did:plc:ty6xlsm3kcdb6hhtbl7kl6ls"
"Ralph Eckhard","microsoft365","ralpje.bsky.social","ralpje","mvp","did:plc:wfdjpfj6nbdug462mpgchqou"
"Randolph West","data","randolphwest.ca","","microsoft","did:plc:45mcgzfmal7abnovkw7rx7z4"
"Randy @UCStatus","microsoft365","randychapman.bsky.social","randychapman","mvp","did:plc:daeyjddv4latifxpz2szs2yx"
"Ravi Mohan",,"ravimohan.bsky.social","","None","did:plc:65s7k74qweh77f2qfco7uu3h"
"Ray Hwang",,"rayhwang.bsky.social","","None","did:plc:oanahif5xgsxaicoh7wa65gt"
"Reuben Bond","dotnet","rbn.bsky.social","reubenbond","microsoft","did:plc:pegptjhgbawzgtvvpywmguf5"
"RedFlag",,"redflagtech.bsky.social","redflag40744051","None","did:plc:j3jqwbrrnnvqb4n5wdxggqpx"
"Rick Claus","azure","regularitguy.com","rickstercdn","microsoft","did:plc:26l2qyo5ko4yziwzqisyb4f3"
"René Wasel","microsoft365","renewasel.bsky.social","renewasel","mvp","did:plc:fnlv4elpod4x3wzljriqgdgv"
"Reshmee Acukloo",,"reshmee.bsky.social","reshmeeauckloo","None","did:plc:zamyd4b7kcwzwu3zcnvumbyb"
"Reshmee Auckloo","microsoft365","reshmeeauckloo.com","reshmeeauckloo","mvp","did:plc:zamyd4b7kcwzwu3zcnvumbyb"
"David Neal","dev","reverentgeek.com","reverentgeek","mvp","did:plc:cnkavd3ikbgsapig6oms4v5r"
"Rex de Koning","azure","rexdekoning.bsky.social","rexdekoning","mvp","did:plc:2wxydkcx4ner6k6k5ynf72yj"
"Renato Fajdiga | MVP","businessapps","rfajdiga.bsky.social","rfajdiga","mvp","did:plc:lw2sid7bxmf2ld53jfngtcfg"
"Rhoderick Milne","security","rhoderickmilne.bsky.social","rhoderickmilne","microsoft","did:plc:3bbpnjoojpc24vkcainxde3c"
"Richard Balsley","intune","richardbalsley.bsky.social","richardbalsley","microsoft","did:plc:gf6wfz5furnvziqrupeum6mn"
"Richard Hicks","security","richardhicks.com","richardhicks","mvp","did:plc:iex2nxfjajzba2dygm47vwlt"
"Rich Ross","azure","richross.dev","","microsoft","did:plc:bqihq5rmq5pv5mrbautgbdqp"
"Rich Ross","azure","richrossdev.bsky.social","","microsoft","did:plc:bqihq5rmq5pv5mrbautgbdqp"
"Rick van den Bosch","azure","rickvdbosch.bsky.social","rickvdbosch","microsoft","did:plc:chdbx3ja6ebix4gmxq3xgxyv"
"Dominique Righetto",,"righettod.bsky.social","righettod","None","did:plc:xsftdz6dbw2j2hij47wusxiv"
"Dan Rios","azure","rios.engineer","","mvp","did:plc:r5lyfzjttxjngj3ifcxidgbf"
"Rodrigo Miravalles",,"rmiravalles.bsky.social","","None","did:plc:e7g2losq7ehjkmc7prdul7fu"
"Robert Eriksson",,"roberik.bsky.social","robaxm","None","did:plc:uvw6ghncqe23lccwzhdv64r6"
"Rob Sewell He/Him","data","robsewell.bsky.social","","mvp","did:plc:esbc722g7bm4ly7b2mg7ba6m"
